Laptops_Name,Discounted_Price,Actual_Prices,Discount_offered,Processor,RAM,Operating System
ASUS,"₹37,990","₹49,990",32% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹29,990","₹54,990",38% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹41,990","₹51,999",31% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹99,990","₹1,29,999",62% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹45,999","₹70,742",45% off,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,"Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border",Graphics & Keyboard: Integrated & Standard Keyboard
Infinix,"₹34,990","₹76,999",24% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹35,990","₹63,190",45% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹59,990","₹89,990",19% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹52,990","₹61,023",23% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹79,990","₹92,999",34% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹41,990","₹59,999",54% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹50,499","₹60,990",43% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹43,990","₹51,999",33% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹16,990","₹34,990",13% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
MSI,"₹62,990","₹95,990",13% off,Intel Core i5 Processor (11th Gen),1 TB HDD|256 GB SSD,Windows 11 Operating System
HP,"₹54,990","₹68,223",31% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹29,880","₹45,900",43% off,AMD Ryzen 3 Dual Core Processor,256 GB SSD,64 bit Windows 11 Operating System
Acer,"₹59,990","₹89,990",24% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹1,12,990","₹1,44,999",24% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹65,990","₹85,999",22% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
SAMSUNG,"₹52,990","₹84,990",30% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹69,990","₹99,990",17% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,Windows 11 Operating System
CHUWI,"₹12,990","₹34,990",15% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹41,990","₹51,999",51% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹42,990","₹76,990",34% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹52,990","₹80,990",19% off,Intel Core i3 Processor (11th Gen),256 GB SSD,Windows 11 Operating System
HP,"₹28,990","₹44,990",34% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
HP,"₹49,490","₹77,354",33% off,AMD Ryzen 3 Quad Core Processor,512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹18,990","₹34,990",22% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹99,990","₹1,29,999",23% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹32,610","₹47,147",37% off,Intel Core i5 Processor (11th Gen),1 TB SSD,Windows 11 Operating System
ASUS,"₹36,990","₹69,990",30% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹52,990","₹61,023",62% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹79,990","₹92,999",19% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹47,990","₹62,963",44% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
MSI,"₹12,990","₹30,000",34% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹35,990","₹49,990",35% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
HP,"₹21,990","₹31,156",36% off,Intel Celeron Quad Core Processor,35.56 cm (14 Inch) Touchscreen Display,64 bit Chrome Operating System
Acer,"₹43,990","₹51,999",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹16,990","₹34,990",23% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
HP,"₹32,990","₹59,000",30% off,AMD Athlon Dual Core Processor,256 GB SSD,DOS Operating System
ASUS,"₹52,479","₹78,900",47% off,Intel Core i3 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹1,12,990","₹1,44,999",13% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹65,990","₹85,999",13% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
walker,"₹34,990","₹61,990",19% off,Intel Celeron Dual Core Processor,128 GB SSD,Windows 11 Operating System
DELL,"₹30,990","₹44,100",37% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹19,999","₹27,063",22% off,AMD Ryzen 3 Quad Core Processor,256 GB SSD,Windows 11 Operating System
DELL,"₹31,990","₹49,990",34% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹12,990","₹34,990",34% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹18,990","₹34,990",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹59,990","₹77,566",56% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹45,999","₹68,790",28% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹41,990","₹51,999",29% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹99,990","₹1,29,999",15% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹32,990","₹42,999",51% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹46,490","₹75,290",44% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹40,990","₹58,390",33% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹59,990","₹94,790",22% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹43,990","₹51,999",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹16,990","₹34,990",43% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
HP,"₹75,990","₹1,11,190",29% off,Intel Core i5 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹66,990","₹86,343",26% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 10 Operating System
Acer,"₹1,12,990","₹1,44,999",36% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹65,990","₹85,999",62% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹40,999","₹64,999",45% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹51,999","₹82,990",22% off,Intel Core i3 Processor (12th Gen),35.56 cm (14 Inch) Display,Chrome Operating System
Lenovo,"₹63,990","₹73,688",33% off,Intel Core Ultra 5 Processor,1 TB SSD,Windows 11 Operating System
Acer,"₹25,490","₹39,990",19% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹12,990","₹34,990",23% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹18,990","₹34,990",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹28,700","₹45,999",38% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹34,990","₹63,295",29% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹41,990","₹51,999",36% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹99,990","₹1,29,999",29% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹35,990","₹58,890",36% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹33,990","₹50,990",29% off,AMD Ryzen 3 Quad Core Processor,512 GB SSD,Windows 11 Operating System
DELL,"₹54,990","₹78,999",22% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹39,990","₹67,990",33% off,Intel Core Ultra 5 Processor,1 TB SSD,Windows 11 Operating System
HP,"₹52,990","₹61,023",15% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹79,990","₹92,999",51% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹45,490","₹59,109",31% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹35,990","₹63,190",22% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹43,990","₹51,999",22% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,12,990","₹1,44,999",23% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
ASUS,"₹72,990","₹1,03,990",36% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Home Operating System
Infinix,"₹43,990","₹69,990",37% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹35,990","₹61,855",13% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹12,990","₹34,990",36% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹65,990","₹85,999",62% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹48,990","₹67,384",45% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹28,700","₹45,999",37% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹18,990","₹34,990",44% off,Intel Core i3 Processor (12th Gen),512 GB SSD,DOS Operating System
CHUWI,"₹99,990","₹1,29,999",19% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹36,990","₹69,990",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Infinix,"₹43,990","₹64,990",38% off,Intel Core i5 Processor (11th Gen),1 TB SSD,Windows 11 Operating System
Infinix,"₹69,300","₹84,838",33% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹45,890","₹99,999",30% off,Intel Core i5 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
Lenovo,"₹41,990","₹51,999",41% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹52,990","₹61,023",13% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹47,900","₹60,248",13% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹18,990","₹29,990",23% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Infinix,"₹79,990","₹92,999",43% off,Intel Celeron Quad Core Processor (11th Gen),128 GB SSD,Windows 11 Operating System
HP,"₹34,990","₹49,990",37% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹32,990","₹54,990",43% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹32,990","₹59,990",22% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
Infinix,"₹15,990","₹32,990",36% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹32,990","₹45,000",36% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹43,990","₹51,999",15% off,AMD Ryzen 3 Quad Core Processor,512 GB SSD,64 bit Windows 11 Operating System
HP,"₹16,990","₹34,990",22% off,Intel Celeron Dual Core Processor,35.56 cm (14 Inch) Touchscreen Display,Chrome Operating System
Lenovo,"₹35,490","₹45,438",29% off,MediaTek Kompanio 520 Processor,35.56 cm (14 Inch) Display,Chrome Operating System
MSI,"₹16,990","₹28,690",37% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹1,12,990","₹1,44,999",41% off,Intel Celeron Quad Core Processor,256 GB SSD,64 bit Windows 11 Operating System
HP,"₹65,990","₹85,999",62% off,Intel Core i7 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹21,990","₹33,990",23% off,Intel Core i5 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹18,990","₹30,001",27% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹67,990","₹90,999",37% off,Intel Core i7 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹73,490","₹83,710",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹12,990","₹34,990",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹18,990","₹34,990",47% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹47,990","₹60,599",32% off,Intel Core i3 Processor (12th Gen),35.56 cm (14 Inch) Display,Chrome Operating System
DELL,"₹41,990","₹51,999",18% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹99,990","₹1,29,999",54% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹42,290","₹52,721",19% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
DELL,"₹46,990","₹99,999",13% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
MSI,"₹67,990","₹94,690",20% off,Intel Core i7 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
DELL,"₹47,990","₹70,490",36% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹52,990","₹61,023",13% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹79,990","₹92,999",30% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹1,84,999","₹3,62,000",40% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹69,990","₹1,08,999",45% off,Intel Core i9 Processor (12th Gen),1 TB SSD,64 bit Windows 11 Operating System
ASUS,"₹43,990","₹51,999",18% off,Intel Core i9 Processor (12th Gen),1 TB SSD,64 bit Windows 11 Operating System
Lenovo,"₹16,990","₹34,990",29% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,Windows 11 Operating System
CHUWI,"₹42,990","₹69,226",37% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
Acer,"₹59,190","₹86,290",40% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹51,900","₹70,000",22% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹65,990","₹99,990",51% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
ASUS,"₹1,12,990","₹1,44,999",26% off,Intel Core i3 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹65,990","₹85,999",15% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹54,990","₹88,990",51% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹52,480","₹78,900",21% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹12,990","₹34,990",40% off,Intel Core i7 Processor (13th Gen),1 TB SSD,64 bit Windows 11 Operating System
Infinix,"₹41,990","₹51,999",22% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹89,900","₹1,02,900",23% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹29,799","₹39,000",35% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹53,990","₹76,990",36% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹55,990","₹87,590",25% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹18,990","₹34,990",12% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,Windows 11 Operating System
Lenovo,"₹99,990","₹1,29,999",62% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹32,990","₹37,430",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹25,490","₹39,990",20% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹52,990","₹61,023",19% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹79,990","₹92,999",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹61,990","₹86,990",19% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹53,990","₹76,990",53% off,Intel Core i5 Processor (10th Gen),512 GB SSD,Windows 11 Home Operating System
ASUS,"₹81,990","₹1,12,990",28% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹55,200","₹86,990",31% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
ASUS,"₹43,990","₹51,999",13% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,Windows 11 Operating System
ZEBRONICS,"₹16,990","₹34,990",13% off,Intel Core i7 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹24,990","₹49,990",26% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,02,990","₹1,39,890",36% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
DELL,"₹1,12,990","₹1,44,999",20% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹65,990","₹85,999",22% off,AMD Ryzen 3 Quad Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹65,990","₹1,04,914",40% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹65,190","₹93,190",48% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
SAMSUNG,"₹27,990","₹40,528",35% off,Intel Core i7 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹53,990","₹69,500",15% off,Intel Celeron Quad Core Processor (11th Gen),128 GB SSD,Windows 11 Operating System
Infinix,"₹12,990","₹34,990",51% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹18,990","₹34,990",37% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹57,990","₹1,08,000",31% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹35,499","₹55,990",25% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹41,990","₹51,999",34% off,"Stylish, Thin and Portable Light Weight Laptop
Processor: Intel Core i3-1005G1 (Base 1.20 GHz & Turbo upto 3.40 GHz) 2 Cores
RAM/Storage: 8GB DDR4, 512GB SSD
Display: 14.0"" FHD 280 nits
Touchpad: Larger Touchpad with easy control
Keyboard: Chiclet keyboard keys",64 bit Windows 11 Operating System,8 GB DDR4 RAM
Lenovo,"₹99,990","₹1,29,999",22% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹31,990","₹49,990",23% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹42,230","₹69,990",38% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹62,190","₹84,290",33% off,Intel Core i7 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹37,800","₹59,999",62% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
